indicator code
"NY.GDP.MKTP.KD.ZG"
"SP.URB.TOTL.IN.ZS"
"TX.VAL.MRCH.CD.WT"
"BX.KLT.DINV.CD.WD"
"SL.TLF.TOTL.IN"
"SL.UEM.TOTL.ZS"
"TX.VAL.MRCH.CD.WT"
